,elevation,id,lat,lon
291,2197.0,603134294,46.7383285,11.9632975
292,2239.0,603134295,46.7384652,11.9620841
293,2239.0,603134296,46.7385309,11.9612275
294,2274.0,603134297,46.7385911,11.959984
295,2274.0,603134299,46.7387586,11.9592818
296,2158.0,603134300,46.7381385,11.9649971
297,2158.0,603134301,46.7380174,11.9659243
298,2158.0,603134302,46.7379176,11.9665227
299,2118.0,603134303,46.7378281,11.9673702
300,2118.0,603134305,46.7376559,11.9681918
301,2042.0,603134306,46.7374537,11.9690104
302,2042.0,603134307,46.7373953,11.9694018
303,1983.0,603134308,46.7369095,11.9745376
304,1983.0,603134309,46.7364795,11.9748493
305,2042.0,603134310,46.7372362,11.9705017
306,2010.0,603134311,46.7371066,11.9717411
307,2010.0,603134312,46.7369698,11.9725905
308,2010.0,603134314,46.7368107,11.9728577
309,1983.0,603134315,46.7367768,11.973252
310,1827.0,603134316,46.735794,11.9823908
311,1685.0,607406117,46.7217259,11.960206
312,1817.0,607406119,46.7188545,11.9656136
313,1824.0,607406121,46.7258466,11.9585641
314,1824.0,607406123,46.7262239,11.9584407
315,1943.0,607406125,46.7284871,11.9582545
316,1943.0,607406127,46.7286578,11.9579487
317,1943.0,607406129,46.7289184,11.9577468
318,1943.0,607406132,46.7291529,11.9577616
319,2040.0,607406134,46.7295628,11.958071
320,1778.0,607406138,46.7255124,11.9629709
321,1810.0,607406139,46.7254633,11.9623035
322,1810.0,607406143,46.7253117,11.9614037
323,1810.0,607406147,46.7254699,11.9604312
324,1824.0,607406148,46.7255764,11.9598621
325,1824.0,607406152,46.7256782,11.9588528
326,1824.0,607406154,46.7265115,11.9586409
327,1824.0,607406158,46.7269204,11.9591366
328,1928.0,607406159,46.7275276,11.9594669
329,1928.0,607406163,46.7281674,11.9598111
330,1928.0,607406165,46.7282466,11.9593856
331,1928.0,607406168,46.7283971,11.9587994
332,2027.0,607406172,46.7298166,11.9586052
333,2027.0,607406180,46.730205,11.9591019
334,2027.0,607406183,46.7303265,11.9591911
335,2027.0,607406185,46.7308365,11.9597757
336,2027.0,607406188,46.731111,11.9600686
337,2087.0,607406190,46.7313981,11.9603029
338,2072.0,607406194,46.7318504,11.9605891
339,2161.0,607406195,46.7341307,11.9596628
340,2058.0,607406199,46.7346531,11.9667118
341,2099.0,607406203,46.7352536,11.9658577
342,2126.0,607406205,46.7357934,11.9649505
343,2058.0,607406208,46.7337382,11.9676846
344,2211.0,607406210,46.7372559,11.9585141
345,2274.0,607406280,46.738103,11.9584149
346,2239.0,607406283,46.7376407,11.960858
347,2191.0,607406288,46.7373808,11.9617149
348,2157.0,607406289,46.736237,11.9641515
349,2157.0,607406291,46.736871,11.9630342
350,2274.0,607406292,46.7382723,11.9590612
351,1939.0,663794030,46.7466964,11.9506884
352,1843.0,663794031,46.7482743,11.9519989
353,1870.0,663794032,46.7487311,11.9523118
354,1870.0,663794033,46.7488177,11.9524721
355,1870.0,663794034,46.7493747,11.9530194
356,1870.0,663794035,46.7489279,11.9523867
357,1137.0,663794036,46.7661952,11.9507626
358,960.0,663794039,46.7721343,11.9417994
359,2087.0,663794040,46.7320169,11.9583917
360,2177.0,663794041,46.7345591,11.9576375
